Symbol,CompanyID
MASTEK,2026
TRANSRAILL,1285196
SHILPAMED,2981
AARTIPHARM,1275418
BORORENEW,536
PRSMJOHNSN,2569
EMUDHRA,1275229
THANGAMAYL,3409
KNRCON,1806
THOMASCOOK,3416
TANLA,3355
HNDFDS,6314
MOIL,2112
DBL,1273459
BAJAJELEC,371
VMART,313489
JUNIPER,1284687
ETHOSLTD,1275227
ELECTCAST,904
CSBBANK,1274190
MHRIL,1976
EPL,962
RENUKA,3018
ROUTE,1274784
WEBELSOLAR,3730
RAYMONDLSL,1284974
STAR,3217
GOKEX,1169
V2RETAIL,3584
ANUP,1274633
KOVAI,1825
RTNINDIA,55705
SHOPERSTOP,2994
MANINFRA,1986
BALUFORGE,472222
SENCO,1284410
DHANUKA,809
SUNTECK,3267
ICIL,1459
GULFOILLUB,1003682
MIDHANI,1274316
GHCL,1128
AHLUCONT,96
BANSALWIRE,1284840
TI,3421
PURVA,2602
SURYAROSNI,3292
IXIGO,1284805
ENTERO,1284670
GAEL,1225
RTNPOWER,1433
TEXRAIL,3402
REFEX,2709
GREENLAM,1270749
RAJESHEXPO,2640
JKPAPER,1634
SUPRIYA,1275131
SUPRAJIT,3277
ARVINDFASN,1274634
ICRA,1385
PROTEAN,1284559
EMIL,1275325
AVALON,1284340
BANCOINDIA,393
UEL,1928
AVL,1273594
JSFB,1284668
TIIL,3388
JSLL,1275199
PRICOLLTD,1273637
IFBIND,1393
PTC,2589
PDSL,1131309
ASHOKA,282
INOXGREEN,1275359
RATEGAIN,1275119
BANARISUG,399
AGI,1374
TVSSCS,1284449
NIITMTS,1284451
MAHLIFE,1977
SKIPPER,988079
ORIENTELEC,1274339
QUESS,1273420
INNOVACAP,1284611
SWARAJENG,3316
STYRENIX,3220
DIACABS,826
LXCHEM,1274848
VSTIND,3711
SHARDACROP,1059828
SHARDAMOTR,413316
JKIL,1562
MASFIN,1274181
SIS,1274119
HIKAL,1315
ITDC,1431
INFIBEAM,1273310
VADILALIND,3588
SPARC,3244
HCC,1337
RAIN,2625
KITEX,1795
RESPONIND,2743
PILANIINVS,2479
JCHAC,1361
THYROCARE,1273341
GMMPFAUDLR,1158
YATHARTH,1284424
RBA,1274818
KRN,1285002
